00000-00399,NA
00400-00599,2
01000-04399,2
04400-04499,3
04500-04599,2
04600-04699,3
04700-04799,4
04800-04899,2
04900-04999,3
05000-06999,2
07000-10499,3
10500-10899,2
10900-11399,3
11400-11599,2
11600-11699,3
11700-12699,2
12700-12799,3
12800-12899,2
12900-13999,3
14000-14799,4
14800-14999,3
15000-16899,4
16900-17299,3
17300-17499,4
17500-17699,3
17700-17799,4
17800-19999,3
20000-21899,4
21900-21999,3
22000-24199,4
24200-24299,5
24300-24599,4
24600-24899,5
24900-25499,4
25500-25799,5
25800-27099,4
27100-27199,5
27200-27999,4
28000-28499,5
28500-28599,4
28600-31599,5
31600-31699,6
31700-32299,5
32300-35599,6
35600-35999,5
36000-36199,6
36200-36299,5
36300-36799,6
36800-36899,5
36900-36999,6
37000-37499,5
37500-37599,6
37600-37999,5
38000-38399,6
38400-38599,5
38600-39799,6
39800-43699,5
43700-44999,4
45000-45699,5
45700-45799,4
45800-49999,5
50000-51699,6
51700-51999,NA
52000-52099,5
52100-52699,6
52700-53999,5
54000-54099,6
54100-54799,5
54800-54899,6
54900-54999,5
55000-57499,6
57500-57799,7
57800-57999,NA
58000-58499,6
58500-58899,7
58900-58999,NA
59000-59199,8
59200-59399,7
59400-59999,8
60000-61999,5
62000-62399,6
62400-62999,5
63000-67499,6
67500-67999,7
68000-68999,6
69000-69399,7
69400-69999,NA
70000-70499,6
70500-70699,7
70700-72999,6
73000-73999,7
74000-74599,6
74600-74899,7
74900-74999,6
75000-75499,7
75500-75599,6
75600-78499,7
78500-78599,8
78600-79699,7
79700-79999,8
80000-81099,7
81100-81699,8
81700-81999,NA
82000-82099,7
82100-82199,8
82200-82299,7
82300-82599,8
82600-82899,7
82900-88099,8
88100-88199,7
88200-88399 ,8
88400-88499,7
88500-96699,8
97000-99499,8
00600-00799,NA
00800-00899,NA
00900-00999,NA
96700,12
96701,10
96702-96705,12
96706-96707,10
96708,12
96709,10
96710,12
96711-96712,10
96713-96716,12
96717,10
96718-96729,12
96730-96731,10
96732-96733 ,12
96734,10
96735-96743,12
96744,10
96745-96757,12
96758-96759,10
96760-96761,12
96762,10
96763-96774,12
96775,10
96776-96781,12
96782,10
96783-96785,12
96786,10
96787-96788,12
96789,10
96790,12
96791-96792,10
96793,12
96794-96795,10
96796,12
96797,10
96798-96800,12
96801-96863,10
96864-96899,12
96900-96999,NA
99500,11
99501-99524,9
99525-99539,11
99540,9
99541-99566,11
99567,9
99568-99576,11
99577,9
99578-99999,11
